,name,essround,edition,cntry,gndr,yrbrn,rlgblg,ctzcntr,edulvlb,edulvlfb,edulvlmb,imsmetn,impcntr,imbgeco,imueclt,imwbcnt,age,edu_lv,edu_lvf,edu_lvm,imsmetn_lv,impcntr_lv,imbgeco_lv,imueclt_lv,imwbcnt_lv,edu_overall,edu_difference,edu_mobility,attitude_lv,edu_lvp,attitude_b,region,edu_mobility_onehot,edu_up,edu_down
5301,ESS8e02_1,8,2.1,CZ,0.0,1955,0.0,Yes,"Vocational ISCED 3C >= 2 years, no access ISCED 5","Vocational ISCED 3C >= 2 years, no access ISCED 5","General ISCED 2A, access ISCED 3A general/all 3",Allow a few,Allow a few,2,2,2,64.0,4.0,3.5,2.5,-1.0,-1.0,-2.0,-2.0,-2.0,3.1666666666666665,0.6666666666666666,0.5,-8.0,3.0,0,Eastern Europe,1,1,0
5302,ESS8e02_1,8,2.1,CZ,0.0,1977,0.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","Vocational ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3A, access upper tier ISCED 5A/all 5",Allow some,Allow some,3,5,5,42.0,8.0,5.0,5.0,1.0,1.0,-1.0,0.0,0.0,5.833333333333333,1.6666666666666667,2.5,1.0,5.0,1,Eastern Europe,1,1,0
5303,ESS8e02_1,8,2.1,CZ,1.0,1994,0.0,Yes,"Vocational ISCED 3A, access upper tier ISCED 5A/all 5","General ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3C >= 2 years, no access ISCED 5",Allow a few,Allow a few,5,3,3,25.0,5.0,4.75,3.5,-1.0,-1.0,0.0,-1.0,-1.0,4.416666666666667,1.0,0.875,-4.0,4.0,0,Eastern Europe,1,1,0
5304,ESS8e02_1,8,2.1,CZ,1.0,1958,0.0,Yes,"Vocational ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3A, access upper tier ISCED 5A/all 5",ISCED 4 programmes without access ISCED 5,Allow some,Allow a few,4,4,4,61.0,5.0,5.0,4.0,1.0,-1.0,-1.0,-1.0,-1.0,4.666666666666667,0.6666666666666666,0.5,-3.0,4.0,0,Eastern Europe,1,1,0
5305,ESS8e02_1,8,2.1,CZ,1.0,1967,0.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3",ISCED 4 programmes without access ISCED 5,"Vocational ISCED 4A, access upper tier ISCED 5A/all 5",Allow none,Allow none,3,3,3,52.0,2.0,4.0,4.75,-2.0,-2.0,-1.0,-1.0,-1.0,3.75,1.5,-1.875,-7.0,4.0,0,Eastern Europe,-1,0,1
5306,ESS8e02_1,8,2.1,CZ,0.0,1966,0.0,Yes,"Vocational ISCED 3C >= 2 years, no access ISCED 5","Vocational ISCED 3C >= 2 years, no access ISCED 5","Vocational ISCED 3C >= 2 years, no access ISCED 5",Allow a few,Allow some,4,4,5,53.0,4.0,3.5,3.5,-1.0,1.0,-1.0,-1.0,0.0,3.5,0.0,0.0,-2.0,4.0,0,Eastern Europe,0,0,0
5307,ESS8e02_1,8,2.1,CZ,1.0,1970,0.0,Yes,"Vocational ISCED 3C >= 2 years, no access ISCED 5","Vocational ISCED 3C >= 2 years, no access ISCED 5","Vocational ISCED 3C >= 2 years, no access ISCED 5",Allow a few,Allow a few,5,5,5,49.0,4.0,3.5,3.5,-1.0,-1.0,0.0,0.0,0.0,3.5,0.0,0.0,-2.0,4.0,0,Eastern Europe,0,0,0
5308,ESS8e02_1,8,2.1,CZ,1.0,1958,0.0,Yes,"Vocational ISCED 3A, access upper tier ISCED 5A/all 5","General ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3C >= 2 years, no access ISCED 5",Allow none,Allow none,5,2,2,61.0,5.0,4.75,3.5,-2.0,-2.0,0.0,-2.0,-2.0,4.416666666666667,1.0,0.875,-8.0,4.0,0,Eastern Europe,1,1,0
5309,ESS8e02_1,8,2.1,CZ,0.0,1996,0.0,Yes,ISCED 4 programmes without access ISCED 5,"General ISCED 2A, access ISCED 3A general/all 3","Vocational ISCED 3C >= 2 years, no access ISCED 5",Allow some,Allow some,5,7,5,23.0,4.0,2.5,3.5,1.0,1.0,0.0,1.0,0.0,3.3333333333333335,1.0,1.0,3.0,3.0,1,Eastern Europe,1,1,0
5311,ESS8e02_1,8,2.1,CZ,0.0,1954,0.0,Yes,"Vocational ISCED 4A, access upper tier ISCED 5A/all 5","Vocational ISCED 3C >= 2 years, no access ISCED 5","General ISCED 2A, access ISCED 3A general/all 3",Allow none,Allow none,5,5,5,65.0,5.0,3.5,2.5,-2.0,-2.0,0.0,0.0,0.0,3.5833333333333335,1.5,1.75,-4.0,3.0,0,Eastern Europe,1,1,0
5312,ESS8e02_1,8,2.1,CZ,1.0,1969,0.0,Yes,"ISCED 1, completed primary education","Vocational ISCED 3C >= 2 years, no access ISCED 5","General ISCED 2A, access ISCED 3A general/all 3",Allow none,Allow none,Bad for the economy,Cultural life undermined,Worse place to live,50.0,1.0,3.5,2.5,-2.0,-2.0,-1.0,-1.0,-1.0,2.3333333333333335,1.6666666666666667,-2.0,-7.0,3.0,0,Eastern Europe,-1,0,1
5315,ESS8e02_1,8,2.1,CZ,0.0,1990,0.0,Yes,"Vocational ISCED 3A, access upper tier ISCED 5A/all 5",ISCED 4 programmes without access ISCED 5,"Vocational ISCED 3C >= 2 years, no access ISCED 5",Allow some,Allow many to come and live here,4,5,6,29.0,5.0,4.0,3.5,1.0,2.0,-1.0,0.0,1.0,4.166666666666667,1.0,1.25,3.0,4.0,1,Eastern Europe,1,1,0
5316,ESS8e02_1,8,2.1,CZ,0.0,1955,1.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","General ISCED 2A, access ISCED 3A general/all 3","Vocational ISCED 3C >= 2 years, no access ISCED 5",Allow many to come and live here,Allow some,2,Cultural life undermined,Worse place to live,64.0,2.0,2.5,3.5,2.0,1.0,-2.0,-1.0,-1.0,2.8333333333333335,0.6666666666666666,-0.5,-1.0,3.0,0,Eastern Europe,-1,0,1
5317,ESS8e02_1,8,2.1,CZ,1.0,1952,0.0,Yes,"Vocational ISCED 3C >= 2 years, no access ISCED 5","Vocational ISCED 3C >= 2 years, no access ISCED 5","Vocational ISCED 3C >= 2 years, no access ISCED 5",Allow none,Allow none,6,5,7,67.0,4.0,3.5,3.5,-2.0,-2.0,1.0,0.0,1.0,3.5,0.0,0.0,-2.0,4.0,0,Eastern Europe,0,0,0
5318,ESS8e02_1,8,2.1,CZ,0.0,1951,0.0,Yes,"Vocational ISCED 3C >= 2 years, no access ISCED 5","General ISCED 2A, access ISCED 3A general/all 3","Vocational ISCED 3C >= 2 years, no access ISCED 5",Allow a few,Allow none,7,8,7,68.0,4.0,2.5,3.5,-1.0,-2.0,1.0,2.0,1.0,3.1666666666666665,0.6666666666666666,0.5,1.0,3.0,1,Eastern Europe,1,1,0
5319,ESS8e02_1,8,2.1,CZ,0.0,1976,0.0,Yes,"Vocational ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3A, access upper tier ISCED 5A/all 5",Allow none,Allow none,4,3,3,43.0,5.0,5.0,5.0,-2.0,-2.0,-1.0,-1.0,-1.0,5.0,0.0,0.0,-7.0,5.0,0,Eastern Europe,0,0,0
5320,ESS8e02_1,8,2.1,CZ,0.0,1957,1.0,Yes,"ISCED 5B short, advanced vocational qualifications","General ISCED 2A, access ISCED 3A general/all 3","Vocational ISCED 3C >= 2 years, no access ISCED 5",Allow many to come and live here,Allow a few,3,2,2,62.0,5.0,2.5,3.5,2.0,-1.0,-1.0,-2.0,-2.0,3.6666666666666665,1.6666666666666667,2.0,-4.0,3.0,0,Eastern Europe,1,1,0
5321,ESS8e02_1,8,2.1,CZ,1.0,1973,0.0,Yes,"Vocational ISCED 4A, access upper tier ISCED 5A/all 5","Vocational ISCED 3A, access upper tier ISCED 5A/all 5","General ISCED 3A, access upper tier ISCED 5A/all 5",Allow some,Allow some,6,6,6,46.0,5.0,5.0,4.75,1.0,1.0,1.0,1.0,1.0,4.833333333333333,0.16666666666666666,-0.125,5.0,5.0,1,Eastern Europe,-1,0,1
5322,ESS8e02_1,8,2.1,CZ,0.0,1954,0.0,Yes,"Vocational ISCED 4A, access upper tier ISCED 5A/all 5","General ISCED 3A, access upper tier ISCED 5A/all 5","General ISCED 3A, access upper tier ISCED 5A/all 5",Allow many to come and live here,Allow a few,2,1,2,65.0,5.0,4.75,4.75,2.0,-1.0,-2.0,-2.0,-2.0,4.75,0.0,0.0,-5.0,5.0,0,Eastern Europe,0,0,0
5323,ESS8e02_1,8,2.1,CZ,1.0,1971,0.0,Yes,"ISCED 5B short, advanced vocational qualifications","Vocational ISCED 3C >= 2 years, no access ISCED 5","Vocational ISCED 3C >= 2 years, no access ISCED 5",Allow a few,Allow a few,4,3,2,48.0,5.0,3.5,3.5,-1.0,-1.0,-1.0,-1.0,-2.0,4.0,1.0,1.5,-6.0,4.0,0,Eastern Europe,1,1,0
5325,ESS8e02_1,8,2.1,CZ,0.0,1958,0.0,Yes,"ISCED 5B short, advanced vocational qualifications","Vocational ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3C >= 2 years, no access ISCED 5",Allow some,Allow some,4,5,3,61.0,5.0,5.0,3.5,1.0,1.0,-1.0,0.0,-1.0,4.5,1.0,0.75,0.0,4.0,0,Eastern Europe,1,1,0
