,name,essround,edition,cntry,gndr,yrbrn,rlgblg,ctzcntr,edulvlb,edulvlfb,edulvlmb,imsmetn,impcntr,imbgeco,imueclt,imwbcnt,age,edu_lv,edu_lvf,edu_lvm,imsmetn_lv,impcntr_lv,imbgeco_lv,imueclt_lv,imwbcnt_lv,edu_overall,edu_difference,edu_mobility,attitude_lv,edu_lvp,attitude_b,region,edu_mobility_onehot,edu_up,edu_down
14402,ESS8e02_1,8,2.1,FI,0.0,1984,1.0,Yes,"ISCED 5B short, advanced vocational qualifications","Vocational ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3A, access upper tier ISCED 5A/all 5",Allow a few,Allow a few,5,5,2,35.0,5.0,5.0,5.0,-1.0,-1.0,0.0,0.0,-2.0,5.0,0.0,0.0,-4.0,5.0,0,North Europe,0,0,0
14403,ESS8e02_1,8,2.1,FI,1.0,1983,0.0,Yes,"Vocational ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3A, access upper tier ISCED 5A/all 5",Allow a few,Allow a few,6,6,6,36.0,5.0,5.0,5.0,-1.0,-1.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,5.0,1,North Europe,0,0,0
14404,ESS8e02_1,8,2.1,FI,0.0,1962,1.0,Yes,"Vocational ISCED 3A, access upper tier ISCED 5A/all 5","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow some,Allow a few,5,6,4,57.0,5.0,1.0,1.0,1.0,-1.0,0.0,1.0,-1.0,2.3333333333333335,2.6666666666666665,4.0,0.0,1.0,0,North Europe,1,1,0
14405,ESS8e02_1,8,2.1,FI,1.0,1997,1.0,Yes,"Vocational ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3A, access upper tier ISCED 5A/all 5",Allow some,Allow a few,1,1,1,22.0,5.0,5.0,5.0,1.0,-1.0,-2.0,-2.0,-2.0,5.0,0.0,0.0,-6.0,5.0,0,North Europe,0,0,0
14407,ESS8e02_1,8,2.1,FI,1.0,1979,0.0,Yes,"ISCED 5A medium, bachelor/equivalent from lower tier tertiary","Vocational ISCED 3A, access upper tier ISCED 5A/all 5","ISCED 1, completed primary education",Allow some,Allow a few,6,7,7,40.0,6.0,5.0,1.0,1.0,-1.0,1.0,1.0,1.0,4.0,3.3333333333333335,3.0,3.0,3.0,1,North Europe,1,1,0
14408,ESS8e02_1,8,2.1,FI,0.0,1956,1.0,Yes,"ISCED 1, completed primary education","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow some,Allow some,8,9,6,63.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,7.0,1.0,1,North Europe,0,0,0
14409,ESS8e02_1,8,2.1,FI,0.0,1949,1.0,Yes,"ISCED 1, completed primary education","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow a few,Allow a few,2,4,4,70.0,1.0,1.0,1.0,-1.0,-1.0,-2.0,-1.0,-1.0,1.0,0.0,0.0,-6.0,1.0,0,North Europe,0,0,0
14412,ESS8e02_1,8,2.1,FI,0.0,1979,1.0,Yes,"General ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3A, access upper tier ISCED 5A/all 5","General ISCED 2A, access ISCED 3A general/all 3",Allow some,Allow a few,5,5,5,40.0,5.0,5.0,2.5,1.0,-1.0,0.0,0.0,0.0,4.083333333333333,1.6666666666666667,1.0,0.0,4.0,0,North Europe,1,1,0
14413,ESS8e02_1,8,2.1,FI,1.0,1952,1.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","Vocational ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3A, access upper tier ISCED 5A/all 5",Allow some,Allow some,8,8,9,67.0,8.0,5.0,5.0,1.0,1.0,2.0,2.0,2.0,5.833333333333333,1.6666666666666667,2.5,8.0,5.0,1,North Europe,1,1,0
14414,ESS8e02_1,8,2.1,FI,0.0,1973,1.0,Yes,"ISCED 5B short, advanced vocational qualifications","ISCED 5B short, advanced vocational qualifications","Vocational ISCED 4A, access upper tier ISCED 5A/all 5",Allow some,Allow a few,5,5,5,46.0,5.0,5.0,4.75,1.0,-1.0,0.0,0.0,0.0,4.916666666666667,0.16666666666666666,0.125,0.0,5.0,0,North Europe,1,1,0
