,name,essround,edition,cntry,gndr,yrbrn,rlgblg,ctzcntr,edulvlb,edulvlfb,edulvlmb,imsmetn,impcntr,imbgeco,imueclt,imwbcnt,age,edu_lv,edu_lvf,edu_lvm,imsmetn_lv,impcntr_lv,imbgeco_lv,imueclt_lv,imwbcnt_lv,edu_overall,edu_difference,edu_mobility,attitude_lv,edu_lvp,attitude_b,region,edu_mobility_onehot,edu_up,edu_down
12441,ESS8e02_1,8,2.1,ES,0.0,1982,1.0,Yes,"ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 5A long, master/equivalent from upper/single tier tertiary",Allow a few,Allow a few,3,9,5,37.0,6.0,7.5,7.5,-1.0,-1.0,-1.0,2.0,0.0,7.166666666666667,0.6666666666666666,-1.0,-1.0,8.0,0,South Europe,-1,0,1
12442,ESS8e02_1,8,2.1,ES,0.0,2001,1.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow many to come and live here,Allow many to come and live here,8,9,9,18.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.5,1.0,1.5,10.0,1.0,1,South Europe,1,1,0
12444,ESS8e02_1,8,2.1,ES,1.0,1976,0.0,Yes,"ISCED 5B short, advanced vocational qualifications","Vocational ISCED 3A, access ISCED 5B/ lower tier 5A","ISCED 1, completed primary education",Allow a few,Allow a few,8,7,7,43.0,5.0,4.0,1.0,-1.0,-1.0,2.0,1.0,1.0,3.3333333333333335,2.6666666666666665,2.5,2.0,2.0,1,South Europe,1,1,0
12446,ESS8e02_1,8,2.1,ES,0.0,1942,1.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow a few,Allow a few,6,6,6,77.0,2.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.5,1.0,1.5,1.0,1.0,1,South Europe,1,1,0
12447,ESS8e02_1,8,2.1,ES,1.0,1989,1.0,Yes,"Vocational ISCED 3A, access ISCED 5B/ lower tier 5A",ISCED 4 programmes without access ISCED 5,"General ISCED 2A, access ISCED 3A general/all 3",Allow many to come and live here,Allow some,9,Cultural life enriched,7,30.0,4.0,4.0,2.5,2.0,1.0,2.0,1.0,1.0,3.5,1.0,0.75,7.0,3.0,1,South Europe,1,1,0
12448,ESS8e02_1,8,2.1,ES,1.0,1997,1.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","General ISCED 2A, access ISCED 3A general/all 3","Vocational ISCED 2A/2B, access ISCED 3 vocational",Allow many to come and live here,Allow many to come and live here,5,7,5,22.0,2.0,2.5,2.5,2.0,2.0,0.0,1.0,0.0,2.5,0.0,0.0,5.0,2.0,1,South Europe,0,0,0
12449,ESS8e02_1,8,2.1,ES,0.0,1973,0.0,Yes,"General ISCED 3 >=2 years, no access ISCED 5","General ISCED 2A, access ISCED 3A general/all 3","ISCED 1, completed primary education",Don't know,Don't know,Don't know,3,5,46.0,4.0,2.5,1.0,0.0,0.0,0.0,-1.0,0.0,2.3333333333333335,1.6666666666666667,1.75,-1.0,2.0,0,South Europe,1,1,0
12450,ESS8e02_1,8,2.1,ES,0.0,1986,0.0,Yes,"General ISCED 3A, access upper tier ISCED 5A/all 5","ISCED 5A long, master/equivalent from upper/single tier tertiary","General ISCED 2A, access ISCED 3A general/all 3",Allow some,Allow many to come and live here,7,8,9,33.0,5.0,7.5,2.5,1.0,2.0,1.0,2.0,2.0,4.916666666666667,3.3333333333333335,-0.25,8.0,5.0,1,South Europe,-1,0,1
12454,ESS8e02_1,8,2.1,ES,0.0,1941,1.0,Yes,"ISCED 1, completed primary education","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow many to come and live here,Allow many to come and live here,6,8,6,78.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,8.0,1.0,1,South Europe,0,0,0
12456,ESS8e02_1,8,2.1,ES,0.0,1987,0.0,Yes,"ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow some,Allow some,2,2,3,32.0,6.0,1.0,1.0,1.0,1.0,-2.0,-2.0,-1.0,2.8333333333333335,3.6666666666666665,5.5,-3.0,1.0,0,South Europe,1,1,0
