,name,essround,edition,cntry,gndr,yrbrn,rlgblg,ctzcntr,edulvlb,edulvlfb,edulvlmb,imsmetn,impcntr,imbgeco,imueclt,imwbcnt,age,edu_lv,edu_lvf,edu_lvm,imsmetn_lv,impcntr_lv,imbgeco_lv,imueclt_lv,imwbcnt_lv,edu_overall,edu_difference,edu_mobility,attitude_lv,edu_lvp,attitude_b,region,edu_mobility_onehot,edu_up,edu_down
2,ESS8e02_1,8,2.1,AT,0.0,1948,1.0,Yes,"Vocational ISCED 3A, access ISCED 5B/ lower tier 5A","Vocational ISCED 3A, access ISCED 5B/ lower tier 5A","ISCED 1, completed primary education",Allow some,Allow a few,5,5,4,71.0,4.0,4.0,1.0,1.0,-1.0,0.0,0.0,-1.0,3.0,2.0,1.5,-1.0,2.0,0,Western Europe,1,1,0
6,ESS8e02_1,8,2.1,AT,0.0,1964,0.0,Yes,"General/pre-vocational ISCED 2A/2B, access ISCED 3 vocational","General/pre-vocational ISCED 2A/2B, access ISCED 3 vocational","ISCED 1, completed primary education",Allow many to come and live here,Allow a few,6,5,3,55.0,2.0,2.5,1.0,2.0,-1.0,1.0,0.0,-1.0,2.0,1.0,0.75,1.0,2.0,1,Western Europe,1,1,0
7,ESS8e02_1,8,2.1,AT,0.0,1972,1.0,Yes,"Vocational ISCED 4A, access upper tier ISCED 5A/all 5","Vocational ISCED 3A, access ISCED 5B/ lower tier 5A","Vocational ISCED 3A, access ISCED 5B/ lower tier 5A",Allow a few,Allow a few,5,4,3,47.0,5.0,4.0,4.0,-1.0,-1.0,0.0,-1.0,-1.0,4.25,0.5,0.75,-4.0,4.0,0,Western Europe,1,1,0
8,ESS8e02_1,8,2.1,AT,0.0,1994,0.0,Yes,"Vocational ISCED 3A, access ISCED 5B/ lower tier 5A","Vocational ISCED 3A, access ISCED 5B/ lower tier 5A","Vocational ISCED 3A, access ISCED 5B/ lower tier 5A",Allow many to come and live here,Allow some,9,Cultural life enriched,9,25.0,4.0,4.0,4.0,2.0,1.0,2.0,1.0,2.0,4.0,0.0,0.0,8.0,4.0,1,Western Europe,0,0,0
9,ESS8e02_1,8,2.1,AT,0.0,1975,1.0,Yes,"Vocational ISCED 3A, access ISCED 5B/ lower tier 5A","General/pre-vocational ISCED 2A/2B, access ISCED 3 vocational","General/pre-vocational ISCED 2A/2B, access ISCED 3 vocational",Allow some,Allow some,7,9,9,44.0,4.0,2.5,2.5,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.5,7.0,2.0,1,Western Europe,1,1,0
10,ESS8e02_1,8,2.1,AT,0.0,1959,1.0,Yes,"General/pre-vocational ISCED 2A/2B, access ISCED 3 vocational","General/pre-vocational ISCED 2A/2B, access ISCED 3 vocational","General/pre-vocational ISCED 2A/2B, access ISCED 3 vocational",Allow a few,Allow a few,5,5,5,60.0,2.0,2.5,2.5,-1.0,-1.0,0.0,0.0,0.0,2.5,0.0,0.0,-2.0,2.0,0,Western Europe,0,0,0
11,ESS8e02_1,8,2.1,AT,1.0,1955,0.0,Yes,"Vocational ISCED 3A, access ISCED 5B/ lower tier 5A","Vocational ISCED 3A, access ISCED 5B/ lower tier 5A","General/pre-vocational ISCED 2A/2B, access ISCED 3 vocational",Allow none,Allow none,1,Cultural life undermined,Worse place to live,64.0,4.0,4.0,2.5,-2.0,-2.0,-2.0,-1.0,-1.0,3.5,1.0,0.75,-8.0,3.0,0,Western Europe,1,1,0
12,ESS8e02_1,8,2.1,AT,1.0,1966,1.0,Yes,"Vocational ISCED 3A, access ISCED 5B/ lower tier 5A","Vocational ISCED 3A, access ISCED 5B/ lower tier 5A","Vocational ISCED 3A, access ISCED 5B/ lower tier 5A",Allow some,Allow none,2,1,Worse place to live,53.0,4.0,4.0,4.0,1.0,-2.0,-2.0,-2.0,-1.0,4.0,0.0,0.0,-6.0,4.0,0,Western Europe,0,0,0
13,ESS8e02_1,8,2.1,AT,0.0,1985,1.0,Yes,"Vocational ISCED 3A, access ISCED 5B/ lower tier 5A","General/pre-vocational ISCED 2A/2B, access ISCED 3 vocational","General/pre-vocational ISCED 2A/2B, access ISCED 3 vocational",Allow some,Allow a few,5,5,5,34.0,4.0,2.5,2.5,1.0,-1.0,0.0,0.0,0.0,3.0,1.0,1.5,0.0,2.0,0,Western Europe,1,1,0
14,ESS8e02_1,8,2.1,AT,0.0,1958,1.0,Yes,"ISCED 1, completed primary education","General/pre-vocational ISCED 2A/2B, access ISCED 3 vocational","ISCED 1, completed primary education",Allow some,Allow a few,Bad for the economy,Cultural life undermined,Worse place to live,61.0,1.0,2.5,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.5,1.0,-0.75,-3.0,2.0,0,Western Europe,-1,0,1
